Travels Name,Bus Type,Price,Time
MSRTC  - 371657,AC-SHIVNERI,520,13:01
MSRTC  - 367598,AC-SHIVNERI,500,13:07
MSRTC  - 365421,SEMI LUXURY,270,13:15
MSRTC  - 435464,SEMI LUXURY,65,13:15
MSRTC  - 371265,AC-SHIVNERI,520,13:15
MSRTC  - 471900,AC-SHIVNERI,526,13:30
MSRTC  - 473982,AC-SHIVNERI,540,13:30
MSRTC  - 371153,SEMI LUXURY,260,13:30
MSRTC  - 371266,AC-SHIVNERI,520,13:30
MSRTC  - 285086,AC-SHIVNERI,520,13:31
MSRTC  - 368226,SEMI LUXURY,200,13:32
MSRTC  - 367599,AC-SHIVNERI,520,13:37
MSRTC  - 371267,AC-SHIVNERI,520,13:45
MSRTC  - 365423,SEMI LUXURY,240,13:45
MSRTC  - 6036,AC-SHIVNERI,520,14:00
MSRTC  - 473725,AC-SHIVNERI,615,14:00
MSRTC  - 434236,AC-SHIVNERI,520,14:00
MSRTC  - 179118,AC-SHIVNERI,520,14:01
MSRTC  - 37091,AC-SHIVNERI,520,14:02
MSRTC  - 365424,SEMI LUXURY,270,14:15
MSRTC  - 285079,AC-SHIVNERI,520,14:15
MSRTC  - 496781,SEMI LUXURY,270,14:17
MSRTC  - 6038,AC-SHIVNERI,520,14:30
MSRTC  - 470131,AC-SHIVNERI,540,14:30
MSRTC  - 609644,SEMI LUXURY,270,14:30
MSRTC  - 179119,AC-SHIVNERI,520,14:31
MSRTC  - 189634,AC-SHIVNERI,520,14:32
MSRTC  - 368228,SEMI LUXURY,200,14:32
MSRTC  - 210541,AC-SHIVNERI,520,14:45
MSRTC  - 365425,SEMI LUXURY,270,14:45
MSRTC  - 472072,AC-SHIVNERI,615,15:00
MSRTC  - 262572,AC-SHIVNERI,540,15:00
MSRTC  - 99622,AC-SHIVNERI,520,15:01
MSRTC  - 450707,AC-SHIVNERI,500,15:02
MSRTC  - 360979,SEMI LUXURY,390,15:14
MSRTC  - 365430,SEMI LUXURY,270,15:15
MSRTC  - 17623,AC-SHIVNERI,520,15:15
MSRTC  - 366603,SEMI LUXURY,270,15:17
MSRTC  - 470158,AC-SHIVNERI,540,15:30
MSRTC  - 6040,AC-SHIVNERI,520,15:30
MSRTC  - 179122,AC-SHIVNERI,520,15:31
MSRTC  - 368229,SEMI LUXURY,200,15:32
MSRTC  - 365431,SEMI LUXURY,270,15:45
MSRTC  - 285080,AC-SHIVNERI,520,15:45
MSRTC  - 504922,SEMI LUXURY,320,15:45
MSRTC  - 6041,AC-SHIVNERI,520,16:00
MSRTC  - 536682,SEMI LUXURY,260,16:00
MSRTC  - 262574,AC-SHIVNERI,540,16:00
MSRTC  - 470837,AC-SHIVNERI,615,16:00
MSRTC  - 99631,AC-SHIVNERI,520,16:01
MSRTC  - 189708,AC-SHIVNERI,520,16:02
MSRTC  - 622805,SEMI LUXURY,250,16:10
MSRTC  - 365434,SEMI LUXURY,270,16:15
MSRTC  - 285081,AC-SHIVNERI,520,16:15
